model,t,PC1,PC2
FLRW,0.7,0.4074299429667505,-0.4776990074150385
FLRW,0.7544303797468354,0.4074299429667505,-0.4776990074150385
FLRW,0.8088607594936709,0.4074299429667505,-0.4776990074150385
FLRW,0.8632911392405063,0.4074299429667505,-0.4776990074150385
FLRW,0.9177215189873418,0.4074299429667505,-0.4776990074150385
FLRW,0.9721518987341772,0.4074299429667505,-0.4776990074150385
FLRW,1.0265822784810126,0.4074299429667505,-0.4776990074150385
FLRW,1.081012658227848,0.4074299429667505,-0.4776990074150385
FLRW,1.1354430379746834,0.4074299429667505,-0.4776990074150385
FLRW,1.1898734177215189,0.4074299429667505,-0.4776990074150385
FLRW,1.2443037974683544,0.4074299429667505,-0.4776990074150385
FLRW,1.2987341772151897,0.4074299429667505,-0.4776990074150385
FLRW,1.3531645569620252,0.4074299429667505,-0.4776990074150385
FLRW,1.4075949367088607,0.4074299429667505,-0.4776990074150385
FLRW,1.462025316455696,0.4074299429667505,-0.4776990074150385
FLRW,1.5164556962025317,0.4074299429667505,-0.4776990074150385
FLRW,1.570886075949367,0.4074299429667505,-0.4776990074150385
FLRW,1.6253164556962023,0.4074299429667505,-0.4776990074150385
FLRW,1.679746835443038,0.4074299429667505,-0.4776990074150385
FLRW,1.7341772151898733,0.4074299429667505,-0.4776990074150385
FLRW,1.7886075949367088,0.4074299429667505,-0.4776990074150385
FLRW,1.8430379746835441,0.4074299429667505,-0.4776990074150385
FLRW,1.8974683544303796,0.4074299429667505,-0.4776990074150385
FLRW,1.9518987341772152,0.4074299429667505,-0.4776990074150385
FLRW,2.0063291139240507,0.4074299429667505,-0.4776990074150385
FLRW,2.060759493670886,0.4074299429667505,-0.4776990074150385
FLRW,2.1151898734177212,0.4074299429667505,-0.4776990074150385
FLRW,2.169620253164557,0.4074299429667505,-0.4776990074150385
FLRW,2.2240506329113923,0.4074299429667505,-0.4776990074150385
FLRW,2.2784810126582276,0.4074299429667505,-0.4776990074150385
FLRW,2.3329113924050633,0.4074299429667505,-0.4776990074150385
