n_r,I_rho,I_theta,I_sigma,I_E
200,0.013193860601937418,0.0021146638606895046,0.0007071014527699327,0.000241466757843311
400,0.01322943041676375,0.0021211556826487656,0.0007097914668229206,0.0002423789001167215
700,0.013244524501144357,0.0021239608204273006,0.0007109244771802671,0.0002427618799529571
1000,0.013250537109841193,0.0021250867253440695,0.0007113743520625089,0.00024291373999124592
1400,0.013254537599427397,0.0021258385504578027,0.0007116732126408023,0.0002430145574737818
