r_max,I_rho,I_sigma,I_E
0.4,0.12472153528233668,0.007180526135629293,0.001990947012087801
0.6,0.0591407592988672,0.003220437961190909,0.0010204131737831979
0.8,0.02583956222798142,0.0013883554084145662,0.0004656640963160717
1.0,0.013244524501144357,0.0007109244771802671,0.0002427618799529571
