I_rho,I_theta,I_sigma,I_E,I_B,I_H,I_M,C2_weyl,rho_mean,theta_mean,Q_D,Q_var,Q_shear,I_Q_derived,I_Q_var,I_Q_shear,model,t,I_rho_norm,I_theta_norm,I_sigma_norm,I_E_norm,I_B_norm,D_FLRW,I_rho_driver_fraction,I_theta_driver_fraction,I_sigma_driver_fraction,I_E_driver_fraction,I_B_driver_fraction,dominant_driver,regime,I_Q_recon,PC1,PC2
2.9547869059061295e-32,1.9084171588207298e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.6458730255648159,1.607324516785351,5.921189464667501e-16,5.921189464667501e-16,-0.0,2.2919324814219997e-16,2.2919324814219997e-16,0.0,FLRW,1.2443037974683544,5.898936898800037e-31,3.939893592874206e-30,0.0,0.0,0.0,9.059574565508419e-31,2.95478690590613e-20,1.90841715882073e-20,0.0,0.0,0.0,none,FLRW-like,1.2722781058804864e-32,0.4074299429667505,-0.4776990074150385
0.0,2.079031160531373e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.5928699808868069,1.5399610136452246,-5.921189464667501e-16,-5.921189464667501e-16,-0.0,2.496833055962864e-16,2.496833055962864e-16,0.0,FLRW,1.2987341772151897,0.0,4.292123192722158e-30,0.0,0.0,0.0,8.584246385444315e-31,0.0,2.0790311605313728e-20,0.0,0.0,0.0,none,FLRW-like,1.3860207736875818e-32,0.4074299429667505,-0.4776990074150385
0.0,2.2569486984028397e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.5461334434759326,1.4780168381665109,2.9605947323337506e-16,2.9605947323337506e-16,-0.0,1.3552524422828471e-16,1.3552524422828471e-16,0.0,FLRW,1.3531645569620252,0.0,4.65943081426592e-30,0.0,0.0,0.0,9.31886162853184e-31,0.0,2.2569486984028397e-20,0.0,0.0,0.0,none,FLRW-like,1.504632465601893e-32,0.4074299429667505,-0.4776990074150385
4.838728375381611e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5047131359660472,1.420863309352518,-2.9605947323337506e-16,-2.9605947323337506e-16,-0.0,1.4664739836152424e-16,1.4664739836152424e-16,0.0,FLRW,1.4075949367088607,9.660037852393317e-31,0.0,0.0,0.0,0.0,1.9320075704786633e-31,4.838728375381611e-20,0.0,0.0,0.0,0.0,none,FLRW-like,0.0,0.4074299429667505,-0.4776990074150385
1.2671340155400956e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46783231198815645,1.3679653679653683,2.9605947323337506e-16,2.9605947323337506e-16,-0.0,1.582081151978617e-16,1.582081151978617e-16,0.0,FLRW,1.462025316455696,2.5297064857886557e-30,0.0,0.0,0.0,0.0,5.059412971577312e-31,1.2671340155400956e-19,0.0,0.0,0.0,0.0,none,FLRW-like,0.0,0.4074299429667505,-0.4776990074150385
0.0,2.83452252898215e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.4348510734362502,1.3188647746243738,2.9605947323337506e-16,2.9605947323337506e-16,-0.0,1.7020739473729715e-16,1.7020739473729715e-16,0.0,FLRW,1.5164556962025317,0.0,5.851821809071997e-30,0.0,0.0,0.0,1.1703643618143994e-30,0.0,2.83452252898215e-20,0.0,0.0,0.0,none,FLRW-like,1.8896816859881e-32,0.4074299429667505,-0.4776990074150385
7.505838583032679e-32,3.041654211496884e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.40523842577111213,1.273166800966962,5.921189464667501e-16,5.921189464667501e-16,-0.0,3.6529047395966047e-16,3.6529047395966047e-16,0.0,FLRW,1.570886075949367,1.4984656959656594e-30,6.279441517398941e-30,0.0,0.0,0.0,1.55558144267292e-30,7.505838583032679e-20,3.041654211496884e-20,0.0,0.0,0.0,none,FLRW-like,2.0277694743312562e-32,0.4074299429667505,-0.4776990074150385
0.0,1.3024357720689713e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.3785507710522996,1.230529595015577,-5.921189464667501e-16,-5.921189464667501e-16,-0.0,3.9104328385092153e-16,3.9104328385092153e-16,0.0,FLRW,1.6253164556962023,0.0,2.6888556989686663e-29,0.0,0.0,0.0,5.3777113979373326e-30,0.0,1.3024357720689713e-19,0.0,0.0,0.0,none,FLRW-like,8.682905147126475e-32,0.4074299429667505,-0.4776990074150385
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35441519788702436,1.1906556141672946,0.0,0.0,-0.0,0.0,0.0,0.0,FLRW,1.679746835443038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,FLRW-like,0.0,0.4074299429667505,-0.4776990074150385
2.7869833345448975e-32,3.7068704760059586e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.3325163833981567,1.1532846715328466,5.921189464667501e-16,5.921189464667501e-16,-0.0,4.4518027985203e-16,4.4518027985203e-16,0.0,FLRW,1.7341772151898733,5.563933830770114e-31,7.652768772554485e-30,0.0,0.0,0.0,1.6418324311262993e-30,2.7869833345448977e-20,3.706870476005959e-20,0.0,0.0,0.0,none,FLRW-like,2.471246984003972e-32,0.4074299429667505,-0.4776990074150385
3.1537027043412234e-32,1.5772865212655744e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.3125862416976323,1.1181882519462132,5.921189464667501e-16,5.921189464667501e-16,-0.0,4.735644659618765e-16,4.735644659618765e-16,0.0,FLRW,1.7886075949367088,6.2960524203280466e-31,3.256280227065824e-29,0.0,0.0,0.0,6.638481502538209e-30,3.1537027043412235e-20,1.5772865212655744e-19,0.0,0.0,0.0,none,FLRW-like,1.0515243475103828e-31,0.4074299429667505,-0.4776990074150385
3.5554747850688267e-32,4.186865666482709e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.294395679869581,1.0851648351648355,-4.440892098500626e-16,-4.440892098500626e-16,-0.0,3.7711933310843705e-16,3.7711933310843705e-16,0.0,FLRW,1.8430379746835441,7.098150245783559e-31,8.643710384470389e-30,0.0,0.0,0.0,1.870705081809749e-30,3.5554747850688265e-20,4.1868656664827095e-20,0.0,0.0,0.0,none,FLRW-like,2.7912437776551393e-32,0.4074299429667505,-0.4776990074150385
3.994465131956238e-32,4.437818565962294e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.27774798498087006,1.0540360240160107,1.4802973661668753e-16,1.4802973661668753e-16,-0.0,1.332410536000377e-16,1.332410536000377e-16,0.0,FLRW,1.8974683544303796,7.974550621829305e-31,9.161798222972001e-30,0.0,0.0,0.0,1.9918506570309864e-30,3.994465131956238e-20,4.437818565962294e-20,0.0,0.0,0.0,none,FLRW-like,2.958545710641529e-32,0.4074299429667505,-0.4776990074150385
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2624734834912128,1.0246433203631646,1.4802973661668753e-16,1.4802973661668753e-16,-0.0,1.4099494418214478e-16,1.4099494418214478e-16,0.0,FLRW,1.9518987341772152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,FLRW-like,0.0,0.4074299429667505,-0.4776990074150385
1.1234446682005166e-31,1.116367869015867e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.24842520076824318,0.9968454258675082,-2.220446049250313e-16,-2.220446049250313e-16,-0.0,2.2345217417370017e-16,2.2345217417370017e-16,0.0,FLRW,2.0063291139240507,2.2428450572058714e-30,2.3047217921390595e-29,0.0,0.0,0.0,5.058012595719294e-30,1.1234446682005165e-19,1.116367869015867e-19,0.0,0.0,0.0,none,FLRW-like,7.44245246010578e-32,0.4074299429667505,-0.4776990074150385
1.3893437572905813e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23547531225663904,0.9705159705159707,7.401486830834377e-17,7.401486830834377e-17,-0.0,7.858028470050193e-17,7.858028470050193e-17,0.0,FLRW,2.060759493670886,2.773686027448255e-31,0.0,0.0,0.0,0.0,5.54737205489651e-32,1.3893437572905813e-20,0.0,0.0,0.0,0.0,none,FLRW-like,0.0,0.4074299429667505,-0.4776990074150385
1.5420480673434545e-32,1.3786663813721498e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.2235122254848347,0.9455415918611613,0.0,0.0,-0.0,0.0,0.0,0.0,FLRW,2.1151898734177212,3.0785449285677095e-31,2.8462324484839973e-30,0.0,0.0,0.0,6.308173882681537e-31,1.5420480673434546e-20,1.3786663813721498e-20,0.0,0.0,0.0,none,FLRW-like,9.191109209147665e-33,0.4074299429667505,-0.4776990074150385
0.0,1.3054806237987355e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.21243816793269513,0.9218203033838978,-5.181040781584063e-16,-5.181040781584063e-16,-0.0,6.097116200911957e-16,6.097116200911957e-16,0.0,FLRW,2.169620253164557,0.0,2.695141741706179e-29,0.0,0.0,0.0,5.3902834834123586e-30,0.0,1.3054806237987355e-19,0.0,0.0,0.0,none,FLRW-like,8.703204158658236e-32,0.4074299429667505,-0.4776990074150385
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2021671829634062,0.8992601024473535,0.0,0.0,-0.0,0.0,0.0,0.0,FLRW,2.2240506329113923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,FLRW-like,0.0,0.4074299429667505,-0.4776990074150385
2.076261888508477e-32,1.5997469687054107e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.19262345679012355,0.877777777777778,-1.4802973661668753e-16,-1.4802973661668753e-16,-0.0,1.9212319605730048e-16,1.9212319605730048e-16,0.0,FLRW,2.2784810126582276,4.145049458969005e-31,3.302649424991073e-30,0.0,0.0,0.0,7.434308741775947e-31,2.076261888508477e-20,1.5997469687054107e-20,0.0,0.0,0.0,none,FLRW-like,1.0664979791369404e-32,0.4074299429667505,-0.4776990074150385
9.127533676823313e-32,6.708369063587568e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.1837399154284119,0.8572978838849699,2.220446049250313e-16,2.220446049250313e-16,-0.0,3.0211808415036734e-16,3.0211808415036734e-16,0.0,FLRW,2.3329113924050633,1.8222209220445064e-30,1.3849309712031867e-29,0.0,0.0,0.0,3.1343061268152747e-30,9.127533676823314e-20,6.708369063587567e-20,0.0,0.0,0.0,none,FLRW-like,4.472246042391712e-32,0.4074299429667505,-0.4776990074150385
