tilt_v0,I_rho,I_theta,I_sigma,I_E,I_B,dominant
0.0,0.013244524501144357,0.0021239608204273006,0.0007109244771802671,0.0002427618799529571,0.0,I_rho
0.01,0.013244524501144357,0.0021979936542678774,0.0007356672879731426,0.00024259142754786634,0.0,I_rho
0.05,0.013244524501144357,0.002606038311072025,0.0008719502350066576,0.00024172528429209378,0.0,I_rho
0.1,0.013244524501144357,0.0033679310819028107,0.0011262659134228113,0.00024022880393615256,0.0,I_rho
